Chip Nr;Tierart;Alter;Name;Futter;Gehege.Nr
1;Loewe;12;Simba;Fleisch;1
2;Loewe;13;Nala;Fleisch;1
3;Netzpython;27;Kaa;Nagetiere;5
4;Frosch;5;Prinz;Grillen;3
5;Frosch;4;Bob;Grillen;3
6;Frosch;6;Kermit;Grillen;3
7;Frosch;8;Frank;Grillen;3
8;Elefant;50;Kazoo;Blaetter;2
9;Elefant;33;Bambi;Blaetter;2
10;Elefant;5;Eddy;Blaetter;2
11;Elefant;35;Bertholt;Blaetter;2
12;Elefant;60;Cristina;Blaetter;2
13;Lemur;8;King Julien;Fruechte;4
14;Lemur;9;Maurice;Fruechte;4
15;Lemur;3;Mort;Fruechte;4
16;Pinguine;10;Skipper;Fisch;6
17;Pinguine;11;Rico;Fisch;6
18;Pinguine;12;Kowalski;Fisch;6
19;Pinguine;15;Private;Fisch;6
20;Pinguine;13;Buck;Fisch;6
